species	rows	rows_not_a_TE	rows_unclassified	rows_transposable_element	pct_not_a_TE	bp_not_a_TE	bp_transposable_element	cyp_genes_with_any_hit	cyp_genes_with_real_TE
aldrichi	974	752	119	103	77.2	36287	16956	47	33
algonquin	836	612	150	74	73.2	25105	12619	57	24
anomalata	420	379	4	37	90.2	17323	5845	49	8
arawakana	635	496	45	94	78.1	24239	20539	49	20
arizonae	1201	976	82	143	81.3	46456	30999	47	33
athabasca	979	711	157	111	72.6	28280	22942	54	27
elegans	557	399	60	98	71.6	22346	27237	53	22
erecta	477	348	15	114	73.0	15413	16162	50	30
eugracilis	0	0	0	0		0	0	0	0
helvetica	895	680	122	93	76.0	27836	17892	57	25
mauritania	368	305	22	41	82.9	14521	5236	52	19
mayaguana	879	740	59	80	84.2	38643	10594	49	24
melanogaster	493	378	9	106	76.7	16730	42693	79	25
miranda	758	502	117	139	66.2	20884	24835	54	32
mojavensis	1302	1045	199	58	80.3	50146	8276	47	20
pandora	440	320	62	58	72.7	13755	11867	47	11
paulistorum	0	0	0	0		0	0	0	0
pseudodoobscura	959	674	147	138	70.3	27863	25637	54	29
santomea	520	395	16	109	76.0	18267	21422	53	22
sechelia	457	412	1	44	90.2	18425	6464	51	19
simulans	504	445	14	45	88.3	19255	6573	51	17
subpulchrella	834	366	245	223	43.9	20496	44054	54	25
sulfirigaster	933	584	180	169	62.6	26077	38386	51	32
sulfirigaster_albostrigata	1067	572	242	253	53.6	24951	49747	53	34
sulfirigaster_bilimbata	948	576	151	221	60.8	25799	46528	52	34
sulfurigaster_sulfurigaster	932	585	105	242	62.8	25599	57158	53	31
suzukii	821	303	130	388	36.9	16015	157630	51	25
tropicalis	795	594	78	123	74.7	24118	24501	55	30
willistoni	1425	869	259	297	61.0	35730	52637	54	32
