hog	genes
N1.HOG0000000	CG10472
N1.HOG0000002	CG7542
N1.HOG0000003	Jon74E
N1.HOG0000008	Jon65Aiv
N1.HOG0000017	Jon25Bi
N1.HOG0000018	Jon44E
N1.HOG0000019	Jon25Bii,Jon65Ai,Jon65Aii
N1.HOG0000023	Jon99Cii,Jon99Ci,Jon25Biii,Jon66Cii,Jon99Fii,Jon99Fi,Jon66Ci,Jon99Ciii
N1.HOG0000025	CG3088
N1.HOG0000026	CG8329,CG18179,CG18180
N1.HOG0000031	Jon65Aiii
N1.HOG0000034	yip7
N1.HOG0000036	CG10477
N1.HOG0000413	CG17361
N1.HOG0000420	CG8319
N1.HOG0000421	CG2678
N1.HOG0000424	Meics
N1.HOG0000425	CG4318,CG44002,Paris,CG17359,Neu2
N1.HOG0000428	CG33725,CG33796,CG33795,CG33927,CG13589,CG13590,CG14518,CG33454,CG33453
N1.HOG0000429	lectin-22C,lectin-37Db,CG15358,CG7763,lectin-21Cb,CG15818,lectin-30A,lectin-24A,lectin-29Ca,lectin-24Db,lectin-21Ca
N1.HOG0000446	lambdaTry
N1.HOG0000449	thetaTry
N1.HOG0000450	CG17571
N1.HOG0000452	CG17239,Ser12
N1.HOG0000454	Send1
N1.HOG0000455	CG31681
N1.HOG0000456	iotaTry
N1.HOG0000462	epsilonTry
N1.HOG0000468	alphaTry,deltaTry,betaTry,gammaTry,CG30031,CG30025
N1.HOG0000470	Ser8
N1.HOG0000473	CG33687,CG33688,CG33689,dls
N1.HOG0000478	CG12849
N1.HOG0000483	CG33764,CG33777,CG33912,CG33654,CG33658,CG33773,CG33920,CG33923,CG33922,CG33723,CG33648,CG33928,CG33798,CG33721,CG33483,CG33463
N1.HOG0000485	TwdlR
N1.HOG0000486	Tb
N1.HOG0000489	TwdlD
N1.HOG0000490	TwdlQ
N1.HOG0000491	TwdlP
N1.HOG0000493	TwdlM,TwdlB,TwdlK,TwdlJ,TwdlL,TwdlN
N1.HOG0000494	TwdlH
N1.HOG0000495	TwdlO
N1.HOG0000521	Or42a
N1.HOG0000522	Or59b
N1.HOG0000523	Or59c
N1.HOG0000524	Or42b
N1.HOG0000525	Or22b,Or22a,Or98a
N1.HOG0000526	His3.3B,His3.3A
N1.HOG0000541	His3:CG33803,His3:CG33806,His3:CG33809,His3:CG33812,His3:CG33815,His3:CG33818,His3:CG33821,His3:CG33824,His3:CG33827,His3:CG33830,His3:CG33833,His3:CG33836,His3:CG33839,His3:CG33842,His3:CG33845,His3:CG33848,His3:CG33851,His3:CG33854,His3:CG33857,His3:CG33860,His3:CG33863,His3:CG33866,His3:CG31613
N1.HOG0000560	His2Av
N1.HOG0000590	His2A:CG33808,His2A:CG33814,His2A:CG33817,His2A:CG33820,His2A:CG33823,His2A:CG33826,His2A:CG33829,His2A:CG33832,His2A:CG33835,His2A:CG33838,His2A:CG33841,His2A:CG33844,His2A:CG33847,His2A:CG33850,His2A:CG33862,His2A:CG33865,His2A:CG31618
N1.HOG0000595	His2A:CG33853,His2A:CG33856,His2A:CG33859
N1.HOG0000792	His4:CG33881,His4:CG33879,His4:CG33877,His4:CG33869
N1.HOG0000796	His4:CG33909,His4:CG33907,His4:CG33905,His4:CG33903,His4:CG33901,His4:CG33899,His4:CG33897,His4:CG33895,His4:CG33893,His4:CG33891,His4:CG33889,His4:CG33887,His4:CG33885,His4:CG33883,His4:CG33875,His4:CG33873,His4:CG33871,His4:CG31611,His4r
N1.HOG0000802	His1:CG33801,His1:CG33804,His1:CG33807,His1:CG33810,His1:CG33813,His1:CG33816,His1:CG33819,His1:CG33822,His1:CG33825,His1:CG33828,His1:CG33831,His1:CG33834,His1:CG33837,His1:CG33840,His1:CG33843,His1:CG33846,His1:CG33849,His1:CG33852,His1:CG33855,His1:CG33858,His1:CG33861,His1:CG33864,His1:CG31617
N1.HOG0000811	His2B:CG33910,His2B:CG33908,His2B:CG33906,His2B:CG33904,His2B:CG33902,His2B:CG33900,His2B:CG33898,His2B:CG33896,His2B:CG33894,His2B:CG33892,His2B:CG33890,His2B:CG33888,His2B:CG33886,His2B:CG33884,His2B:CG33882,His2B:CG33880,His2B:CG33878,His2B:CG33876,His2B:CG33874,His2B:CG33872,His2B:CG33870,His2B:CG33868,His2B:CG17949
N1.HOG0000826	Lcp65Ad
N1.HOG0000828	Lcp65Aa
N1.HOG0000830	Lcp65Ac
N1.HOG0000839	Cpr65Ax1,Cpr65Ax2
N1.HOG0000847	Lcp65Ab1,Lcp65Ab2
N1.HOG0000871	Lcp65Ae
N1.HOG0000880	Lcp65Ag2,Lcp65Ag1,Lcp65Ag3
N1.HOG0000884	Lcp65Af
N1.HOG0000890	Mal-B2
N1.HOG0000891	Mal-B1
N1.HOG0000893	Mal-A1
N1.HOG0000894	Mal-A2
N1.HOG0000896	Mal-A5
N1.HOG0000897	Mal-A3
N1.HOG0000898	Mal-A4
N1.HOG0000901	Mal-A6
N1.HOG0000903	Mal-A8
N1.HOG0000904	Mal-A7
N1.HOG0000905	CG5550,CG9500,CG30280,CG30281
N1.HOG0000918	Pp1-87B
N1.HOG0000922	Pp1alpha-96A
N1.HOG0000927	flw
N1.HOG0000929	PpD6
N1.HOG0000930	PpN58A
N1.HOG0000931	PpD5
N1.HOG0000932	PpY-55A
N1.HOG0000933	Pp1-Y2
N1.HOG0000935	Pp1-13C
N1.HOG0000940	LysP
N1.HOG0000950	LysX
N1.HOG0000951	LysS
N1.HOG0000952	LysD,LysE,LysB
N1.HOG0000954	CG6788,CG31832
N1.HOG0000957	CG13068
N1.HOG0000962	CG14095
N1.HOG0000963	CG14096,CG12519,CG18294,CG32214,825-Oak,CG32213,CG32212
N1.HOG0000965	CG14839
N1.HOG0000966	CG11694,CG14354
N1.HOG0000967	CG34459
N1.HOG0000968	CG12985
N1.HOG0000969	CG11698
N1.HOG0000970	CG14841
N1.HOG0000971	CG14840
N1.HOG0000972	TwdlF
N1.HOG0000973	TwdlG
N1.HOG0000974	TwdlW
N1.HOG0000975	TwdlX
N1.HOG0000976	TwdlZ
N1.HOG0000977	TwdlY
N1.HOG0000979	Twdlalpha
N1.HOG0000980	TwdlV
N1.HOG0000983	GstD2,GstD4,GstD6,GstD8,GstD7,GstD3
N1.HOG0000986	GstD9
N1.HOG0000988	GstD10
N1.HOG0000989	GstD1
N1.HOG0000990	CG18609,CG8534,eloF,CG16904,CG9459,CG17821,CG9458,CG31141
N1.HOG0001018	CG11961
N1.HOG0001019	CG10051
N1.HOG0001020	CG9416
N1.HOG0001021	CG10062
N1.HOG0001022	CG13160,CG30047,CG30049,CG30043,CG33012
N1.HOG0001023	Act87E
N1.HOG0001024	Act57B
N1.HOG0001028	Act79B
N1.HOG0001032	Act88F
N1.HOG0001034	Act5C
N1.HOG0001038	Arp53D
N1.HOG0001042	Act42A
N1.HOG0001044	PH4alphaPV
N1.HOG0001047	CG15539,CG31016,CG11828,PH4alphaNE3,PH4alphaNE2,CG31524
N1.HOG0001049	CG18234
N1.HOG0001051	CG18749,CG15864
N1.HOG0001141	Ugt37E1
N1.HOG0001142	Ugt37C1,Ugt37C2
N1.HOG0001143	Ugt37A1,Ugt37B1,Ugt37A2,Ugt37A3,Ugt37D1
N1.HOG0001149	CG31300,CG13658,CG11893,CG13659,CG31104,CG31370,CG31436
N1.HOG0001151	CG33702,CG33700,CG33783,CG33784,CG33679,CG33752
N1.HOG0001152	CG33775
N1.HOG0001157	azot,CG31960
N1.HOG0001158	CG13526,CG30378
N1.HOG0001159	CG13898
N1.HOG0001160	Acam
N1.HOG0001163	CG6296
N1.HOG0001165	CG6295
N1.HOG0001166	CG6277,CG6271
N1.HOG0001175	CG17192,CG17191,CG6283
N1.HOG0001177	CG13325,CG14204,CG14219,CG14205,CG5892,CG10182,CG16723,CG10183,CG33337
N1.HOG0001179	Tak1
N1.HOG0001180	Takl1
N1.HOG0001181	Takl2
N1.HOG0001260	MFS1
N1.HOG0001261	CG2003
N1.HOG0001262	CG7881
N1.HOG0001263	CG3649
N1.HOG0001264	CG9826
N1.HOG0001265	CG30265,CG12490,CG9825
N1.HOG0001266	CG34056,CG34057
N1.HOG0001267	CG2975
N1.HOG0001269	tgy
N1.HOG0001270	C1GalTA,CG8708
N1.HOG0001272	Ccp84Ae
N1.HOG0001273	Ccp84Ac
N1.HOG0001276	Cpr5C,Ccp84Af,Ccp84Ad
N1.HOG0001289	Ccp84Ab,Ccp84Aa
N1.HOG0001294	CG13716
N1.HOG0001295	CG34266
N1.HOG0001297	SNCF
N1.HOG0001298	CG13711
N1.HOG0001303	CG13713
N1.HOG0001305	CG15876
N1.HOG0001306	Hsc70-2
N1.HOG0001322	Hsp70Ab,Hsp70Bb,Hsp70Bc,Hsp70Aa,Hsp70Ba,Hsp70Bbb
N1.HOG0001325	Hsp68
N1.HOG0001326	CG4259,CG18557,CG3117,CG18477,CG18478,SPH93,CG14990,CG31780,CG31827,CG4793
N1.HOG0001327	CG5390
N1.HOG0001329	CheB53a,CheB53b,CheB74a,CheB38c,CheB93a,CheB98a,CheB93b,CheB38b,CheB38a,CheB42b,CheB42c,CheB42a
N1.HOG0001330	Vm32E
N1.HOG0001331	Vm26Aa
N1.HOG0001333	Vm26Ac
N1.HOG0001334	Vm34Ca
N1.HOG0001335	Vml
N1.HOG0001336	Vm26Ab
N1.HOG0001337	S-Lap5
N1.HOG0001338	S-Lap8,loopin-1
N1.HOG0001339	S-Lap7,S-Lap4
N1.HOG0001340	S-Lap3
N1.HOG0001341	CG10073,CG10081
N1.HOG0001343	CG5568,CG18586,Acsx1L,Acsx1R,Acsx3
N1.HOG0001345	CG31793,CG9270
N1.HOG0001346	Mrp4
N1.HOG0001347	CG7627,l(2)03659,CG31792
N1.HOG0001373	CG42537,CG42713
N1.HOG0001376	CG42717
N1.HOG0001382	CG42716
N1.HOG0001383	CG42538
N1.HOG0001442	CG14502,CG18536,CG18537,CG18538,CG18539,CG18540
N1.HOG0001448	CG10553,CG10560
N1.HOG0001449	CHKov1,CG10562
N1.HOG0001450	CG10559
N1.HOG0001453	CG12857
N1.HOG0001454	CG30357
N1.HOG0001458	CG10752
N1.HOG0001461	CG12147
N1.HOG0001462	CG2577,CG9962,CG7094
N1.HOG0001466	CkIalpha
N1.HOG0001467	CG6465
N1.HOG0001470	CG6726
N1.HOG0001471	CG17110,CG17109,CG6733,CG6738
N1.HOG0001472	CG30288,CG30082,CG30187,CG43335,CG43336,CG42694,CG43110,CG33225,CG14227,CG4650,CG10764,CG30283,CG30414,CG30090,CG30088,CG30087,CG30083,CG30098,CG30289,CG30286,CG30287,CG18636,CG18420,CG33461,CG33462,CG33458,CG33459,CG33226
N1.HOG0001473	CG13135,CG14850,CG14851,CG8087
N1.HOG0001474	Cyp6a21
N1.HOG0001478	Cyp6a8,Cyp6a18
N1.HOG0001479	Cyp6a2
N1.HOG0001503	alpha-Est5
N1.HOG0001504	alpha-Est6
N1.HOG0001505	alpha-Est1,gas
N1.HOG0001506	alpha-Est2
N1.HOG0001637	Gr59d,Gr36a,Gr36b,Gr36c,Gr59c
N1.HOG0001638	AOX1
N1.HOG0001639	AOX2
N1.HOG0001640	AOX3,AOX4
N1.HOG0001641	betaTub60D
N1.HOG0001643	betaTub65B
N1.HOG0001644	betaTub97EF
N1.HOG0001645	betaTub56D
N1.HOG0001648	betaTub85D
N1.HOG0001651	CG42464,CG43165,IM33
N1.HOG0001653	Acp24A4
N1.HOG0001655	CG16713
N1.HOG0001663	CG11470,CG10911,CG7567,CG31041
N1.HOG0001664	Lectin-galC1,lectin-37Da
N1.HOG0001666	Sfp24F,CG43055
N1.HOG0001670	Lcp3,Lcp4
N1.HOG0001676	Lcp1,Lcp2
N1.HOG0001678	CG10096,CG10097,Sgp,CG17562,CG17560,CG14893
N1.HOG0001679	Eb1
N1.HOG0001686	Mst27D
N1.HOG0001688	CG15306
N1.HOG0001690	CG32371
N1.HOG0001694	Vha16-1
N1.HOG0001695	Vha16-4
N1.HOG0001696	Vha16-5
N1.HOG0001697	Vha16-3,Vha16-2
N1.HOG0001705	vers
N1.HOG0001708	Sid
N1.HOG0001709	CG14062,CG12917
N1.HOG0001801	mthl3,mth,mthl11,mthl4,mthl2,mthl6
N1.HOG0001803	CG8834,CG4830
N1.HOG0001805	Cys,CG8066,CG31313
N1.HOG0001809	CG15369
N1.HOG0001814	ACXD
N1.HOG0001815	ACXC,ACXB,ACXA,ACXE
N1.HOG0001816	CG32301,CG32305
N1.HOG0001818	CG5506,CG16775
N1.HOG0001819	CG33768
N1.HOG0001820	CG33770
N1.HOG0001821	CG33769
N1.HOG0001823	CG33767,CG33771
N1.HOG0001824	CG30002,CG1773,grass
N1.HOG0001825	eIF4E6,eIF4E7
N1.HOG0001829	eIF4E4
N1.HOG0001834	eIF4E5
N1.HOG0001835	eIF4E1
N1.HOG0001836	alpha4GT1,alpha4GT2
N1.HOG0001837	CG34161,CG11052,CG18371
N1.HOG0001838	Acyp
N1.HOG0001840	Acyp2
N1.HOG0001847	CG17801,Odj,CG1792,CG18764
N1.HOG0001877	CG30495,CG2070,CG2065,Rdh1
N1.HOG0001878	CG30491
N1.HOG0001881	CG7824
N1.HOG0001908	pip
N1.HOG0001914	CG10274,D19B,D19A
N1.HOG0001917	promL
N1.HOG0001923	CG14355,CG31533,CG31327
N1.HOG0001979	CG31189
N1.HOG0001980	CG7079,CG31207
N1.HOG0001985	CG15254
N1.HOG0001986	CG15253
N1.HOG0001987	CG7631
N1.HOG0001990	Semp1
N1.HOG0001995	CG9514
N1.HOG0002003	CG9503
